,movie1,movie2,sim,user1_sim,user2_sim
0,182693,131446,0.08759839087724686,0.377,0.3661666666666667
1,48198,147964,0.27535706758499146,0.3878333333333334,0.4046666666666667
2,187079,60625,0.26414403319358826,0.41100000000000003,0.39683333333333337
3,135196,155741,0.057758864015340805,0.3868333333333333,0.37466666666666665
4,151187,168796,0.2928997278213501,0.4458333333333333,0.4515
5,194863,200112,0.14556019008159637,0.387,0.3721666666666667
6,129673,192675,0.2906235158443451,0.4025,0.4483333333333333
7,203270,151651,-0.04857365041971207,0.3475000000000001,0.3393333333333333
8,118762,150381,0.10549373179674149,0.37400000000000005,0.3635
9,201883,163675,0.08753296732902527,0.40549999999999997,0.4251666666666667
10,205651,25987,0.301355242729187,0.42083333333333334,0.39916666666666667
11,118784,168202,0.12993523478507996,0.41183333333333333,0.4058333333333333
12,124759,159542,0.15442468225955963,0.36116666666666664,0.3831666666666666
13,203421,6045,0.21088966727256775,0.3721666666666667,0.38433333333333336
14,184239,105835,0.2987457513809204,0.3988333333333334,0.4041666666666666
15,130408,102152,0.2289937138557434,0.4076666666666666,0.4206666666666667
16,510,172285,-0.019398057833313942,0.332,0.37483333333333335
17,83241,183905,0.11294040083885193,0.3613333333333333,0.37999999999999995
18,196801,146556,0.20781707763671875,0.3853333333333333,0.3981666666666667
19,126290,182775,0.11239871382713318,0.38199999999999995,0.3691666666666667
20,171497,122043,0.21716248989105225,0.3675,0.37666666666666665
21,106234,116849,0.2663199305534363,0.4146666666666667,0.42383333333333334
22,177515,150884,0.2348766177892685,0.3866666666666667,0.429
23,76077,174111,-0.034825295209884644,0.3328333333333333,0.33866666666666667
24,193958,152511,0.1433267891407013,0.4486666666666666,0.42283333333333334
25,135025,175513,0.1394422948360443,0.369,0.3865
26,6081,146652,-0.07070936262607574,0.351,0.3333333333333333
27,156623,50858,0.2580222189426422,0.4043333333333334,0.3613333333333333
28,2511,191357,0.21166455745697021,0.40700000000000003,0.4343333333333333
29,114363,74261,0.1719333827495575,0.38833333333333336,0.3741666666666667
30,180557,150038,0.07937905192375183,0.37533333333333335,0.35483333333333333
31,176251,83831,0.16229692101478577,0.4155,0.41583333333333333
32,195455,204308,0.22411957383155823,0.41583333333333333,0.41450000000000004
33,113306,173307,-0.04660816490650177,0.3328333333333333,0.3328333333333333
34,5608,194396,0.2097020149230957,0.4041666666666666,0.43283333333333335
35,147573,79022,0.12830106914043427,0.3758333333333333,0.3761666666666666
36,188379,87689,0.34942078590393066,0.4629999999999999,0.5668333333333334
37,184943,156692,0.06317557394504547,0.36033333333333334,0.35483333333333333
38,189671,357,0.15607984364032745,0.3735,0.377
39,126000,123832,0.25679272413253784,0.43183333333333335,0.4045
40,101413,192997,0.24649465084075928,0.3555,0.37000000000000005
41,2709,174515,0.0763261467218399,0.41983333333333334,0.4101666666666666
42,1277,91729,-0.008639782667160034,0.3228333333333333,0.342
43,128852,137817,0.01940532773733139,0.35800000000000004,0.33549999999999996
44,48165,165253,0.046021901071071625,0.3501666666666667,0.35400000000000004
45,156877,145722,0.25799474120140076,0.4048333333333334,0.38133333333333336
46,191939,138174,0.1971513330936432,0.37949999999999995,0.3821666666666666
47,168110,152497,0.06670278310775757,0.3456666666666666,0.38516666666666666
48,114489,78145,0.03252517431974411,0.39166666666666666,0.36483333333333334
49,4428,192735,0.21113444864749908,0.40066666666666667,0.4076666666666667
50,80917,1340,0.0768020749092102,0.3348333333333333,0.3686666666666667
